Yaş,Cinsiyet,Fakülte,Bölüm,Sınıf,Soru1,Soru2,Soru3,Soru4,Soru5,Soru6,Soru7,Soru8,Soru9,Soru10,Soru11,Soru12,Soru13,Soru14,Soru15,Soru16,Soru17,Soru18,Soru19,Soru20,Soru21,Soru22,Soru23,Soru24,Soru25,Soru26,Soru27,Soru28,Soru29,Soru30,Soru31,Soru32
18-21,Kadın,Fen Fakültesi,Biyoloji,2. sınıf,5,5,3,3,4,2,4,4,4,4,4,4,4,4,4,4,2,3,2,2,4,2,3,4,4,3,3,2,4,4,4,5
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,1. sınıf,2,2,2,2,3,4,3,4,4,3,3,3,2,3,3,2,4,4,3,3,3,3,4,4,3,2,4,2,4,4,4,4
18-21,Kadın,Fen Fakültesi,Kimya,1. sınıf,2,3,3,4,3,4,2,3,3,2,2,2,2,2,4,2,2,3,3,4,1,4,3,5,3,4,4,2,4,3,2,4
18-21,Kadın,Fen Fakültesi,Matematik,1. sınıf,4,3,2,3,4,4,3,3,4,4,3,2,2,4,2,4,3,2,2,4,4,4,2,4,4,5,5,4,4,5,4,4
18-21,Kadın,Fen Fakültesi,Kimya,1. sınıf,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22-25,Erkek,Fen Fakültesi,Matematik,4. sınıf,3,3,4,3,4,5,3,4,5,4,4,4,2,4,4,4,4,4,4,3,4,5,5,4,4,5,4,4,3,5,5,5
22-25,Erkek,Fen Fakültesi,Matematik,3. sınıf,2,4,3,4,3,4,3,3,2,4,4,2,2,4,3,4,3,2,2,2,4,5,5,5,5,4,4,5,2,4,5,5
18-21,Kadın,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor Öğretmenliği,4. sınıf,5,1,1,1,3,2,2,2,3,2,1,1,1,4,1,1,1,1,1,1,1,2,3,3,1,4,5,1,4,5,1,3
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İktisat,3. sınıf,3,2,3,3,2,4,4,4,4,4,4,3,3,2,3,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,4,4
18-21,Kadın,Eğitim Fakültesi,Özel Eğitim Öğretmenliği,1. sınıf,4,4,3,4,5,5,3,5,5,5,5,3,3,4,3,4,5,4,5,3,4,5,4,5,4,4,3,5,2,4,4,5
22-25,Kadın,Eğitim Fakültesi,Edebiyat,2. sınıf,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18-21,Kadın,Eğitim Fakültesi,Sınıf Öğretmenliği,3. sınıf,2,4,4,3,2,2,2,2,2,4,3,4,2,3,2,3,1,1,3,3,2,1,1,3,4,3,2,3,3,3,2,2
22-25,Erkek,Fen Fakültesi,Biyoloji,4. sınıf,4,4,4,2,2,4,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,2,3,4,2,4,4,4,4,4,4,2
22-25,Erkek,Fen Fakültesi,Matematik,3. sınıf,2,2,1,2,3,4,4,4,4,3,3,5,3,5,5,3,1,2,4,2,2,4,4,5,5,4,5,4,5,4,5,4
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,4,4,1,3,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,4,2,1,5,5,5,5,4,3,5,5,5
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
22-25,Erkek,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5
22-25,Erkek,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,4,4,3,3,5,5,3,5,3,3,1,1,5,5
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,1,1,1,1,3,2,2,2,2,1,4,1,2,1,2,1,1,1,1,2,2,1,1,2,1,5,1,1,5,5,5,5
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,4,4,3,4,3,4,3,4,4,4,4,4,4,5,5,3,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,3
22-25,Kadın,Fen Fakültesi,İstatistik,3. sınıf,4,3,3,4,4,4,4,3,4,5,5,3,2,5,3,3,4,4,3,3,3,4,3,4,4,2,4,3,4,3,3,5
18-21,Kadın,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor Öğretmenliği,3. sınıf,1,1,1,1,4,4,4,3,4,3,3,2,2,3,2,3,2,1,2,2,2,4,1,5,2,3,5,3,4,3,2,4
18-21,Kadın,Eğitim Fakültesi,Bilgisayar ve Öğretim Teknolojileri Eğitimi,1. sınıf,2,2,2,3,4,2,3,2,3,1,1,3,2,4,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,4,3,3
22-25,Kadın,Fen Fakültesi,İstatistik,3. sınıf,4,4,3,4,5,5,4,5,4,5,5,3,3,4,4,3,5,4,3,5,3,5,4,5,5,5,5,4,4,4,5,4
18-21,Kadın,Eğitim Fakültesi,Bilgisayar ve Öğretim Teknolojileri Eğitimi,1. sınıf,3,4,2,3,4,4,2,3,3,4,4,2,3,4,3,3,2,3,2,4,2,3,2,4,3,4,4,2,4,4,2,4
18-21,Erkek,Fen Fakültesi,İstatistik,3. sınıf,2,1,4,2,1,5,3,1,5,2,5,3,4,2,1,3,5,2,2,1,5,4,4,3,5,3,5,1,4,3,1,5
18-21,Erkek,Fen Fakültesi,İstatistik,3. sınıf,4,4,2,3,2,3,3,1,2,3,3,2,2,3,2,2,3,2,1,2,2,4,3,2,3,3,4,1,2,5,2,4
18-21,Kadın,Eğitim Fakültesi,PDR,2. sınıf,3,3,3,4,4,4,3,4,4,2,2,3,3,5,4,4,4,3,2,3,3,3,3,4,2,4,5,2,5,5,5,5
18-21,Erkek,Fen Fakültesi,Fizik,4. sınıf,2,2,2,2,3,4,1,1,1,2,2,2,2,4,3,3,2,2,2,2,2,2,2,4,2,2,4,4,4,4,2,4
22-25,Erkek,Fen Fakültesi,İstatistik,3. sınıf,2,4,2,3,2,3,4,2,2,2,2,2,4,2,2,2,2,3,4,2,3,4,3,1,2,4,5,2,4,5,2,4
18-21,Erkek,Spor Bilimleri Fakültesi,Antrenörlük Eğitimi,1. sınıf,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18-21,Erkek,Fen Fakültesi,Matematik,1. sınıf,1,1,2,2,3,2,2,2,3,2,3,3,2,3,3,3,2,2,2,2,1,3,3,3,2,4,4,4,4,4,3,2
18-21,Erkek,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,2,2,3,4,4,4,4,4,4,3,4,3,2,4,4,4,4,4,4,4,4,5,2,4,3,4,4,2,4,3,3,4
18-21,Kadın,Eğitim Fakültesi,Türkçe Öğretmenliği,2. sınıf,3,3,2,3,4,4,4,3,3,4,4,3,3,3,3,3,2,2,2,2,3,4,4,4,3,4,4,3,4,4,3,4
22-25,Kadın,Eğitim Fakültesi,PDR,4. sınıf,3,3,1,2,5,4,3,5,4,4,2,3,4,4,4,3,1,2,2,1,2,2,1,5,1,4,4,2,4,1,4,4
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,2. sınıf,4,4,4,4,4,5,3,5,4,5,5,5,2,5,4,4,4,4,4,4,1,5,5,1,4,5,3,5,5,5,5,5
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,3. sınıf,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
22-25,Erkek,Eğitim Fakültesi,Türkçe Öğretmenliği,4. sınıf,2,2,1,2,4,5,4,5,4,3,4,2,2,4,3,4,3,3,3,2,2,2,2,2,2,5,4,2,3,4,4,2
18-21,Erkek,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor,2. sınıf,3,3,2,3,5,2,2,1,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,5,3,2,4,3,4,5,5,2
18-21,Kadın,Fen Fakültesi,Biyoloji,3. sınıf,2,2,4,2,3,5,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3,4,3,3,4,4,3,2,3,3,4,3
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,Uluslararası Ticaret ve Lojistik,3. sınıf,4,3,2,4,3,5,4,4,3,3,3,2,2,3,5,4,4,3,3,3,3,2,2,5,3,5,4,4,5,4,5,4
18-21,Kadın,İktisadi ve İdari Bilimler Fakültesi,İktisat,2. sınıf,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İktisat,3. sınıf,4,3,4,4,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,4,5,4,5,4,5,5,4,5,4,3,5
18-21,Erkek,Fen Fakültesi,İstatistik,2. sınıf,3,3,1,4,4,4,4,5,4,3,4,2,2,4,3,4,4,3,2,2,2,4,3,5,4,5,5,2,4,4,4,5
22-25,Kadın,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,3,3,3,3,3,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,3,4,3,3,3
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,3,2,5,5,2,2,3,5,2,3,5,4,4,4,3,5,2,3,5,2,3,4,3,2,5,3,5,2,5,2,1,5
18-21,Kadın,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor,2. sınıf,3,3,2,2,2,2,3,4,2,3,3,4,1,3,3,5,4,3,3,3,3,3,5,3,5,2,5,2,2,5,2,5
18-21,Kadın,İktisadi ve İdari Bilimler Fakültesi,İktisat,3. sınıf,3,3,2,4,5,5,3,3,5,4,4,2,2,3,4,3,3,3,4,4,4,4,3,3,3,4,4,3,3,4,3,3
18-21,Kadın,İktisadi ve İdari Bilimler Fakültesi,İktisat,2. sınıf,2,2,3,4,4,4,3,4,3,3,3,3,2,3,2,2,2,2,3,3,3,3,2,4,2,5,2,4,5,3,1,5
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,3,2,1,2,1,3,2,2,3,3,3,2,1,4,3,3,2,3,4,2,3,4,4,4,3,4,5,3,4,4,2,4
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,4. sınıf,3,2,2,3,3,4,2,3,3,3,3,2,2,4,3,3,3,3,3,2,3,3,2,4,4,4,4,3,2,2,3,2
22-25,Kadın,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,3,4,4,3,3,4,4,5,3,5,5,3,5,5,3,4
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4
22-25,Erkek,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,4,4,2,5,4,5,5,4,4,4,4,2,2,4,3,3,4,4,3,3,3,4,3,3,4,4,5,4,5,4,4,5
18-21,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,3. sınıf,2,4,1,5,4,5,3,5,5,5,4,2,1,4,4,4,4,4,3,2,4,4,2,4,4,5,5,2,4,5,5,5
22-25,Kadın,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,3,4,3,3,3,3,3,3,3
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,3. sınıf,4,2,2,4,4,3,4,3,2,2,2,2,2,2,2,3,2,2,2,3,4,4,2,3,4,3,4,4,5,4,3,4
18-21,Kadın,Hemşirelik Fakültesi,Hemşirelik,3. sınıf,3,2,2,4,4,4,3,4,3,4,3,2,2,2,4,4,4,3,3,4,2,4,4,2,3,4,4,2,4,4,4,4
22-25,Kadın,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor,2. sınıf,3,3,2,2,4,4,4,4,4,4,2,3,1,3,2,3,3,3,2,2,2,4,4,4,5,5,5,5,2,4,5,3
22-25,Erkek,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor,4. sınıf,2,2,3,3,3,5,3,5,5,4,4,4,3,4,4,3,2,3,2,3,3,3,3,2,4,5,5,2,3,4,2,2
18-21,Kadın,Eğitim Fakültesi,Fen Bilgisi Öğretmenliği,4. sınıf,2,2,2,2,3,3,4,4,4,3,3,2,2,2,2,3,2,2,2,2,2,4,2,4,4,3,4,2,2,4,3,4
18-21,Kadın,Eğitim Fakültesi,Fen Bilgisi Öğretmenliği,2. sınıf,3,2,4,2,5,5,4,4,4,4,3,2,2,4,4,4,2,3,3,4,4,4,4,5,4,5,5,4,4,3,5,4
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,1,1,2,1,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,3
18-21,Erkek,Hemşirelik Fakültesi,Hemşirelik,3. sınıf,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,3. sınıf,4,4,2,2,5,5,4,4,5,5,5,3,3,4,4,4,4,3,4,3,3,3,2,2,3,5,5,4,2,2,3,2
18-21,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,1. sınıf,3,4,3,2,2,3,3,3,3,2,3,2,2,4,4,3,3,3,3,4,3,4,4,3,3,4,3,2,3,4,2,3
18-21,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22-25,Erkek,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,4,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,2
22-25,Erkek,Fen Fakültesi,İstatistik,3. sınıf,5,1,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,4,4,2,4,5,5,4,4,5,4,4,2,1,4,3,3,3,3,3,3,4,2,2,2,2,4,4,1,3,4,3,3
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,4. sınıf,1,2,2,1,3,2,2,2,1,3,1,1,1,1,1,2,2,1,1,1,2,2,2,4,2,4,4,1,4,4,1,1
22-25,Erkek,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor,3. sınıf,4,2,2,4,4,4,4,4,5,3,3,2,3,4,5,4,4,3,3,4,2,2,2,5,3,5,5,4,5,5,4,5
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,3,3,2,2,3,4,4,4,3,3,4,2,2,5,5,2,4,3,3,4,5,5,3,2,3,4,4,2,5,5,4,5
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,4,2,2,2,3,5,4,5,4,3,2,2,2,2,3,3,2,3,3,3,2,3,2,3,4,4,4,3,4,4,2,3
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,1. sınıf,5,5,5,2,5,4,5,3,5,5,5,5,4,4,5,5,4,4,5,4,2,2,2,4,4,5,5,5,4,3,4,1
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,2,2,1,1,4,3,4,3,4,3,3,3,2,4,3,3,4,3,4,3,2,2,1,3,3,4,4,1,3,3,2,3
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,4. sınıf,3,3,2,4,5,5,4,5,5,2,2,4,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,2,3,4,3,4
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,İktisat,3. sınıf,1,1,1,3,5,5,5,3,5,5,5,3,3,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,3,5,4,1
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,4,4,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18-21,Erkek,Fen Fakültesi,İstatistik,3. sınıf,4,2,2,2,4,1,2,2,5,4,4,2,2,4,2,4,4,2,2,2,1,4,3,4,4,5,4,4,4,4,5,4
18-21,Erkek,Hemşirelik Fakültesi,Hemşirelik,1. sınıf,2,4,2,2,3,5,2,3,3,4,2,1,2,5,2,2,3,1,1,3,1,3,2,1,1,4,5,1,5,5,4,5
18-21,Erkek,Hemşirelik Fakültesi,Hemşirelik,4. sınıf,4,2,2,3,2,4,4,3,3,2,2,2,1,3,3,2,2,2,2,3,2,3,2,2,3,4,4,3,4,4,2,3
22-25,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,3. sınıf,1,1,1,1,3,3,2,4,2,2,2,2,2,4,2,4,3,2,2,2,2,4,3,4,3,2,4,2,4,5,5,4
18-21,Kadın,Fen Fakültesi,Kimya,1. sınıf,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,4,4,3,4,4,5,4,3,3,3,3
18-21,Kadın,Fen Fakültesi,Kimya,1. sınıf,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,3. sınıf,5,5,2,2,5,5,4,5,5,4,4,3,2,5,4,5,4,4,4,4,5,5,5,1,4,5,5,2,5,4,3,5
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İşletme,4. sınıf,2,2,1,3,4,4,4,3,5,3,4,2,2,4,3,3,4,3,2,2,4,4,2,3,4,5,2,2,1,3,2,4
22-25,Kadın,İktisadi ve İdari Bilimler Fakültesi,İktisat,3. sınıf,2,4,2,2,4,2,2,3,4,4,4,2,2,4,4,4,2,1,2,2,2,4,2,2,4,4,5,1,4,1,2,4
18-21,Kadın,Eğitim Fakültesi,Fen Bilgisi Öğretmenliği,3. sınıf,3,3,3,3,3,4,3,4,3,4,4,3,3,4,3,3,3,3,3,4,3,3,2,4,4,5,4,3,4,4,4,4
18-21,Kadın,Eğitim Fakültesi,Fen Bilgisi Öğretmenliği,3. sınıf,2,2,1,2,3,3,2,3,3,2,3,2,2,3,2,3,3,2,3,2,4,3,3,2,3,3,4,3,2,4,4,3
18-21,Erkek,İktisadi ve İdari Bilimler Fakültesi,İşletme,2. sınıf,2,2,1,1,4,3,4,3,4,2,3,1,1,4,2,2,3,2,2,1,3,5,4,3,4,4,4,4,5,4,2,5
22-25,Erkek,Spor Bilimleri Fakültesi,Beden Eğitimi ve Spor Öğretmenliği,4. sınıf,2,1,2,4,4,5,4,5,4,4,4,2,2,4,4,4,4,4,2,5,2,4,4,4,3,5,5,1,2,2,4,2
